=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.19 10:06:13 =~=~=~=~=~=~=~=~=~=~=~=
Setup: Serial port communication at 9600bps
t:16.80,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:16.85,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:16.90,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:16.95,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:17.00,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:17.05,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:17.10,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:17.15,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:17.20,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:17.25,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
